MAINPREDIR,MAINPRETYPE,MAINNAME,MAINSUFDIR,MAINSUFTYPE,MAINFULNAME,ALS1PREDIR,ALS1PRETYPE,ALS1NAME,ALS1SUFDIR,ALS1SUFTYPE,ALS1FULNAME,ALS2PREDIR,ALS2PRETYPE,ALS2NAME,ALS2SUFDIR,ALS2SUFTYPE,ALS2FULNAME,ALS3PREDIR,ALS3PRETYPE,ALS3NAME,ALS3SUFDIR,ALS3SUFTYPE,ALS3FULNAME,OWNERSHIP,MAINTAINEDBY,FIPSCODE,NUMBLANES,FUNCTIONCODE,SURFACE,SURFACETYPE,ONEWAY,ONEWAYDIR,PAVSEGID,STATUS,COMMENTS,NOTES,ADDRNG_L_F,ADDRNG_L_T,ADDRNG_R_F,ADDRNG_R_T,CITY_L,CITY_R,COUNTY_L,COUNTY_R,STATE_L,STATE_R,ZIP_L,ZIP_R,COUNTRYCODE,BLOCKID_L,BLOCKID_R,CREATED_DATE,LAST_UPDATED,LAST_EDITOR,CURVE,ROAD_NUMB,CARTO_SYMB,ROW_WIDTH,PAVE_WIDTH,Enabled,GlobalID,created_user,last_edited_user,last_edited_date,Shape_Length
,,WEED HEIGHTS,,RD,WEED HEIGHTS RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,1000,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/17/2021 16:41,TSPROULE,,,LOCAL,,,1,{0FE2CEBD-12CC-4C36-BB3E-950830AB124F},,,,9173.952259353089175
,,JEANETTE,,DR,JEANETTE DR,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5,5,6,8,CAR,CAR,LYN,LYN,NV,NV,89706,89706,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{105303C1-835A-4CF6-9550-B5C48023D057},,,,162.955833245697960
,,SECOND,,AVE,SECOND AVE,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,352,364,355,375,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{10795D98-17A9-4BEA-ABDA-E0E320674A94},,,,429.999651491203622
,,GIACOMETTO,,LN,GIACOMETTO LN,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,40,1,39,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{10824F4C-6B5A-428F-A851-4FC4CE5FF3EA},,,,2958.742829537818579
,NV,208,,HWY,NV HWY 208,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1313,1379,1312,1378,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 20:07,TSPROULE,,208,SR,,,1,{10C8E6DA-D12B-4E90-9953-FEAD5EDEE540},,,,2616.331801131073462
,NV,338,,HWY,NV HWY 338,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,41,179,40,178,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,338,SR,,,1,{10D57783-427C-4078-884B-182067716B2D},,,,5306.881655348443928
,,TOGNOLI,,LN,TOGNOLI LN,,,,,,,,,,,,,,,,,,,,,,,,,CCS,0,,,,,,2,48,1,49,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{11410801-809B-4CA0-9853-BB4D2194B3A1},,,,4501.527653562416162
,,MAPLE,,DR,MAPLE DR,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,30,29,46,47,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{115D8AD3-60B7-486D-BD12-267502A37548},,,,330.033777458837790
,,BORSINI,,LN,BORSINI LN,,,,,,,,,,,,,,,,,,,,,,,,,CCS,0,,,,,,11,13,10,12,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{1169593D-5CB2-465E-87B6-625D22EC863B},,,,951.000560277975410
,,BUM STEER,,RD,BUM STEER RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,30,1,29,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{1172409D-B6B5-4DE0-9A94-A3D0F520564A},,,,1132.518557792885758
,,CHARI,,DR,CHARI DR,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,770,778,771,779,CAR,CAR,LYN,LYN,NV,NV,89706,89706,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{12117E47-5476-4F39-9059-2A8813E778F2},,,,266.037769040765568
,NV,338,,HWY,NV HWY 338,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,201,339,200,338,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,338,SR,,,1,{1225462C-4CD9-4CAE-9253-47CFBB1F723D},,,,6144.230925269379441
,,MACKENZIE,,LN,MACKENZIE LN,,,,,,,,,,,,,,,,,,,,,,,,,CCS,0,,,,,,109,131,108,130,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{122AEAF6-B4FB-4F79-8CFE-8DA75F7C351D},,,,5318.716846571376664
,,ARTESIA,,RD,ARTESIA RD,,,,,,,,,,,,,,,,,,,,M,,,A,,,0,,,,,,231,249,230,248,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{12ABADDE-6986-45A1-AFF3-4588D6040C9A},,,,695.880528712345949
,,HAWKVIEW,,RD,HAWKVIEW RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,68,1,69,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{13C4731A-CC4A-4EAB-9100-AA8AECDD4077},,,,3261.870085287916936
,,ZACHARY,,RD,ZACHARY RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{13C61AD6-E22A-488D-B3B0-AAAC0D4E7055},,,,247.441212831081003
,,GARMS,,CIR,GARMS CIR,,,,,,,,,,,,,,,,,,,,NM,,,M,,,0,,,,,,1,69,2,68,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{141D7720-25BC-4ED7-A200-C04CD22F4ECE},,,,3457.381952805200854
,,BRIDGE,,ST,BRIDGE ST,,NV,340,,HWY,NV HWY 340,,,,,,,,,,,,,,,,,,,,0,,,,,,101,199,100,198,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{141EC1AD-0F40-40F5-AB8D-79CD8186B636},,,,357.443888697759064
,,PIT,,RD,PIT RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,41,59,40,58,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{142A4E52-5758-4166-8D16-B66A37CC9962},,,,610.183385377358945
,,PARTRIDGE,,PL,PARTRIDGE PL,,,,,,,,,,,,,,,,,,,,NM,,,M,,,0,,,,,,1,9,2,8,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{149548AB-582B-4B5E-B422-8EBDDD5BA724},,,,299.997831697769357
,,HAWKVIEW,,RD,HAWKVIEW RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,80,92,81,93,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{14FD5D61-BE29-4131-895B-3D493BA57D92},,,,651.531813309673453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{1546A383-B5C1-41CA-B1C9-A4F596F0E52D},,,,3428.881655311321083
,NV,208,,HWY,NV HWY 208,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,208,SR,,,1,{15B5E027-52A0-4FCF-B0F8-ACF5AB9C3791},,,,19.341694991748803
,,GEMSTONE,,AVE,GEMSTONE AVE,,,,,,,,,,,,,,,,,,,,,,,,,CS,0,,,,,,1,19,2,20,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{16325B66-991B-402E-97D0-38819CAA53BF},,,,907.411729627014438
,,LOWER COLONY,,RD,LOWER COLONY RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,9,2,8,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{166D5ABB-5384-472F-8AD5-C2AC6F045ADC},,,,806.359997856351811
,,PURSEL,,LN,PURSEL LN,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,8,22,7,21,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/17/2021 16:11,TSPROULE,,,LOCAL,,,1,{168BD611-8D74-4640-9A39-F0B1DBD55DCC},,,,5266.112735052801327
,,ARTIST VIEW,,DR,ARTIST VIEW DR,,,,,,,,,,,,,,,,,,,,M,,,C,,,0,,,,,,201,269,200,268,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{16CFA0B9-90C6-4D8D-B417-B6FE8EA49380},,,,3584.184075992408907
,,SILVERADO,,RD,SILVERADO RD,,,,,,,,,,,,,,,,,,,,,,,,,GR,0,,,,,,1,15,2,14,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{176CB6EF-05B4-4618-A5EF-B997E5C59BEB},,,,785.008379219374774
,,OSBORNE,,LN,OSBORNE LN,,,,,,,,,,,,,,,,,,,,,,,,,CS,0,,,,,,,,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{17989CBC-83CE-4B17-97AA-7D9A7714E6CA},,,,831.261679778651569
,,JAMES,,CT,JAMES CT,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,CAR,CAR,LYN,LYN,NV,NV,89706,89706,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{179CB15D-36BE-4FBC-AAA8-47E780BB1E98},,,,496.557691646235526
,,BALDWIN,,LN,BALDWIN LN,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,30,9,37,CAR,CAR,LYN,LYN,NV,NV,89706,89706,US,,,6/9/2021 18:27,6/23/2021 15:05,TSPROULE,,,LOCAL,,,1,{17E5503F-3DE1-412F-AD08-2D3C4DBCAD8B},,,,1614.565899855098905
,,WEED HEIGHTS,,RD,WEED HEIGHTS RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{17F888FB-ACE9-4028-94F1-3F00D4340CED},,,,778.083273189762167
,,DIKE,,RD,DIKE RD,,,,,,,,,,,,,,,,,,,,M,,,L,,,0,,,,,,,,,,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{180BF46B-3660-40A1-A5BD-1A96F9B0835D},,,,10.766254933283077
,,NORTHRIDGE,,DR,NORTHRIDGE DR,,,,,,,,,,,,,,,,,,,,,,,,,GR,0,,,,,,25,29,34,40,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{181EFAA9-73FD-4DAF-958D-21BAD7535621},,,,399.631295236062556
,,MT GRANT,,DR,MT GRANT DR,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,140,178,141,179,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{183609FA-4786-4738-BF51-5FF73A87DD29},,,,1756.860930161204124
,,MEAD,,AVE,MEAD AVE,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{1842F5D8-0D40-4BBF-84DF-660E5A64794B},,,,137.914287392897506
,,BELMONT,,ST,BELMONT ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,100,107,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{1862C04C-A4AA-4C7D-9ED6-653D445FE70F},,,,637.072337509961926
,,PINENUT,,DR,PINENUT DR,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{18785949-1BD2-4E98-8634-B40690617D09},,,,598.704900148132538
,,IDAHO,,ST,IDAHO ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,57,59,58,60,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{187D50A3-7459-4C61-B539-D87819FF1306},,,,65.223214160742842
,,FAIRVIEW,,ST,FAIRVIEW ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,509,517,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{18C27C38-5197-4870-A346-CB7BD87E2181},,,,610.210833119916742
,,DAY,,LN,DAY LN,,,,,,,,,,,,,,,,,,,,NM,,,M,,,0,,,,,,221,235,220,234,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{19B2FB75-9025-4063-99D9-370D51F4D7C5},,,,884.768153936545559
,,ATCHESON,,RD,ATCHESON RD,,,,,,,,,,,,,,,,,,,,M,,,C,,,0,,,,,,1,129,2,128,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,DIRT,,,1,{19D3B444-4AD2-4212-A4AF-F3585BFAFCE7},,,,5962.323888660306693
,,FRANKLIN,,ST,FRANKLIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,15,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/17/2021 22:09,TSPROULE,,,LOCAL,,,1,{1A092CE0-88F4-4B10-9452-B045395769AD},,,,473.804952473461583
,,MAIN,,ST,MAIN ST,,NV,208,,HWY,NV HWY 208,,,,,,,,,,,,,,,,,,,,0,,,,,,377,399,376,398,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{1A32AB17-3919-429D-BC1B-6BD2F2C8C0D4},,,,96.552937983256598
,,AGATE CIRCLE,,DR,AGATE CIRCLE DR,,,,,,,,,,,,,,,,,,,,,,,,,CS,0,,,,,,2,20,1,19,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{1A51BF40-F07A-406F-9228-5B9154CEE3EF},,,,766.397206293261888
